average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_change,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
1.9979777,-0.020194784644991158,4.035068,0.2810074320435524,0.2341835576863516,343.06,17.72,338.99,18.23,0.8278236637329579,856,3288,137.0,35072,1122304
2.0149195,-0.019431475447490812,4.7800617,0.281482994556427,0.23490570654116927,347.95,18.61,342.47,17.89,0.8242570167322836,852,3312,138.0,35328,1130496
1.9649172,-0.018634020518511533,5.7695117,0.2750855350494385,0.2356883795665843,358.86,19.58,336.96,17.3,0.7851767922229924,861,3336,139.0,35584,1138688
1.9602317,-0.01938620800152421,4.473501,0.28395826280117037,0.23560626121858755,349.17,19.6,340.21,17.6,0.81431685080768,860,3360,140.0,35840,1146880
1.9241935,-0.01586393779143691,5.662048,0.33375767156481745,0.23658827062518822,333.69,18.24,342.88,18.27,0.7632199687106632,861,3384,141.0,36096,1155072
1.90823,-0.015397393987514078,5.2480617,0.34135600209236144,0.2376409268804959,337.84,18.55,347.93,18.95,0.742629254629281,861,3408,142.0,36352,1163264
1.897353,-0.015803708303719757,5.7678547,0.35916348427534106,0.2382675889169886,318.55,16.38,357.93,19.37,0.792456071320682,861,3432,143.0,36608,1171456
2.0079122,-0.012401311020366847,5.788507,0.36459620714187624,0.23923337361997082,325.17,16.47,375.79,21.28,0.8513130752674516,856,3456,144.0,36864,1179648
1.9592034,-0.016301518860273062,5.316428,0.3515913912653923,0.23931258065359934,325.78,15.83,357.89,19.73,0.7662251281512003,862,3480,145.0,37120,1187840
2.0226755,-0.01573479076847434,5.4366083,0.34425320982933044,0.23870396010932468,322.88,15.69,342.28,18.68,0.7643601919339389,852,3504,146.0,37376,1196032
1.9122107,-0.016768725160509347,6.3874574,0.3425885930657387,0.23915179987393675,334.3,16.2,346.41,18.72,0.6861182855629655,858,3528,147.0,37632,1204224
2.0079608,-0.01875109254848212,5.8995333,0.3130863481760025,0.24051479205843948,340.38,17.1,329.31,17.42,0.8097972223239662,858,3552,148.0,37888,1212416
1.9932092,-0.019162218826822938,5.458113,0.3065846863389015,0.24195316788696108,336.71,17.46,314.65,15.86,0.7909935135090154,860,3576,149.0,38144,1220608
1.9856288,-0.020145529373548923,5.5878253,0.29346952855587005,0.24280541195046335,333.33,17.0,328.45,16.52,0.783808263354452,859,3600,150.0,38400,1228800
2.0856576,-0.018494756314903497,6.0074854,0.2982603123784065,0.2430606966039964,336.07,17.78,312.73,15.67,0.810831320096499,858,3624,151.0,38656,1236992
2.111767,-0.018338376581668855,5.7910094,0.31539333119988444,0.24360699933909236,333.73,17.43,320.53,16.24,0.7947163991701119,861,3648,152.0,38912,1245184
2.118014,-0.01885190754663199,5.1388144,0.3136380887031555,0.24448660761117935,330.42,16.81,331.14,16.9,0.7974284550846672,861,3672,153.0,39168,1253376
2.048544,-0.018778748628683388,5.732654,0.33022910967469216,0.24668178813798086,334.49,17.38,331.38,17.37,0.7570969445235851,851,3696,154.0,39424,1261568
